STATE,REGION,ACS_PCT_CTZ_US_BORN_ZC,ACS_PCT_FOREIGN_BORN_ZC,new_zipcode
Massachusetts,Northeast,95.49,4.51,01341
Massachusetts,Northeast,90.9,9.1,01342
Massachusetts,Northeast,92.31,7.69,01343
Massachusetts,Northeast,98.14,1.86,01344
Massachusetts,Northeast,94.12,5.88,01346
Massachusetts,Northeast,100.0,0.0,01347
Massachusetts,Northeast,90.84,9.16,01349
Massachusetts,Northeast,96.0,4.0,01350
Massachusetts,Northeast,97.67,2.33,01351
Massachusetts,Northeast,92.55,7.45,01354
Massachusetts,Northeast,96.64,3.36,01355
Massachusetts,Northeast,95.32,4.68,01360
Massachusetts,Northeast,96.08,3.92,01364
Massachusetts,Northeast,94.55,5.45,01366
Massachusetts,Northeast,95.76,4.24,01367
Massachusetts,Northeast,96.97,3.03,01368
Massachusetts,Northeast,92.78,7.22,01370
Massachusetts,Northeast,94.53,5.47,01373
Massachusetts,Northeast,94.53,5.47,01093
Massachusetts,Northeast,86.66,13.34,01375
Massachusetts,Northeast,94.73,5.27,01376
Massachusetts,Northeast,96.07,3.93,01378
Massachusetts,Northeast,95.33,4.67,01380
Massachusetts,Northeast,95.33,4.67,01379
Massachusetts,Northeast,88.54,11.46,01420
Massachusetts,Northeast,96.74,3.26,01430
Massachusetts,Northeast,93.4,6.6,01431
Massachusetts,Northeast,90.0,10.0,01432
Massachusetts,Northeast,76.58,23.42,01434
Massachusetts,Northeast,96.35,3.65,01436
Massachusetts,Northeast,99.61,0.39,01438
Massachusetts,Northeast,91.11,8.89,01440
Massachusetts,Northeast,93.31,6.69,01471
Massachusetts,Northeast,93.31,6.69,01472
Massachusetts,Northeast,93.31,6.69,01470
Massachusetts,Northeast,93.31,6.69,01450
Massachusetts,Northeast,92.7,7.3,01467
Massachusetts,Northeast,92.7,7.3,01451
Massachusetts,Northeast,92.88,7.12,01452
Massachusetts,Northeast,82.86,17.14,01453
Massachusetts,Northeast,89.95,10.05,01460
Massachusetts,Northeast,94.44,5.56,01462
Massachusetts,Northeast,90.83,9.17,01463
Massachusetts,Northeast,88.85,11.15,01464
Massachusetts,Northeast,91.22,8.78,01468
Massachusetts,Northeast,94.56,5.44,01469
Massachusetts,Northeast,97.71,2.29,01473
Massachusetts,Northeast,97.71,2.29,01441
Massachusetts,Northeast,94.01,5.99,01474
Massachusetts,Northeast,95.8,4.2,01475
Massachusetts,Northeast,91.86,8.14,01501
Massachusetts,Northeast,94.72,5.28,01503
Massachusetts,Northeast,91.6,8.4,01504
Massachusetts,Northeast,92.24,7.76,01505
Massachusetts,Northeast,95.58,4.42,01506
Massachusetts,Northeast,96.19,3.81,01507
Massachusetts,Northeast,96.19,3.81,01509
Massachusetts,Northeast,96.19,3.81,01508
Massachusetts,Northeast,83.76,16.24,01510
Massachusetts,Northeast,94.81,5.19,01515
Massachusetts,Northeast,95.77,4.23,01516
Massachusetts,Northeast,93.98,6.02,01518
Massachusetts,Northeast,89.85,10.15,01519
Massachusetts,Northeast,91.19,8.81,01520
Massachusetts,Northeast,98.48,1.52,01521
Massachusetts,Northeast,92.38,7.62,01522
Massachusetts,Northeast,92.71,7.29,01523
Massachusetts,Northeast,93.8,6.2,01524
Massachusetts,Northeast,91.2,8.8,01586
Massachusetts,Northeast,91.2,8.8,01527
Massachusetts,Northeast,94.4,5.6,01529
Massachusetts,Northeast,94.03,5.97,01531
Massachusetts,Northeast,85.6,14.4,01532
Massachusetts,Northeast,94.04,5.96,01534
Massachusetts,Northeast,98.16,1.84,01535
Massachusetts,Northeast,88.88,11.12,01536
Massachusetts,Northeast,91.71,8.29,01537
Massachusetts,Northeast,93.5,6.5,01540
Massachusetts,Northeast,96.11,3.89,01541
Massachusetts,Northeast,93.0,7.0,01542
Massachusetts,Northeast,93.61,6.39,01543
Massachusetts,Northeast,74.28,25.72,01546
Massachusetts,Northeast,74.28,25.72,01545
Massachusetts,Northeast,95.81,4.19,01550
Massachusetts,Northeast,79.56,20.44,01560
Massachusetts,Northeast,100.0,0.0,01561
Massachusetts,Northeast,94.75,5.25,01562
Massachusetts,Northeast,96.57,3.43,01564
Massachusetts,Northeast,93.6,6.4,01566
Massachusetts,Northeast,92.31,7.69,01568
Massachusetts,Northeast,94.46,5.54,01538
Massachusetts,Northeast,94.46,5.54,01569
Massachusetts,Northeast,92.03,7.97,01570
Massachusetts,Northeast,92.52,7.48,01571
Massachusetts,Northeast,71.47,28.53,01581
Massachusetts,Northeast,93.11,6.89,01583
Massachusetts,Northeast,98.85,1.15,01585
Massachusetts,Northeast,95.14,4.86,01588
Massachusetts,Northeast,95.14,4.86,01525
Massachusetts,Northeast,94.79,5.21,01590
Massachusetts,Northeast,94.79,5.21,01526
Massachusetts,Northeast,79.88,20.12,01602
Massachusetts,Northeast,75.51,24.49,01603
Massachusetts,Northeast,73.17,26.83,01604
Massachusetts,Northeast,76.15,23.85,01615
Massachusetts,Northeast,76.15,23.85,01653
Massachusetts,Northeast,76.15,23.85,01655
Massachusetts,Northeast,76.15,23.85,01613
Massachusetts,Northeast,76.15,23.85,01605
Massachusetts,Northeast,84.54,15.46,01606
Massachusetts,Northeast,80.96,19.04,01607
Massachusetts,Northeast,75.62,24.38,01614
Massachusetts,Northeast,75.62,24.38,01608
Massachusetts,Northeast,75.62,24.38,01601
Massachusetts,Northeast,82.81,17.19,01609
Massachusetts,Northeast,76.19,23.81,01610
Massachusetts,Northeast,95.92,4.08,01611
Massachusetts,Northeast,87.66,12.34,01612
Massachusetts,Northeast,81.38,18.62,01701
Massachusetts,Northeast,81.38,18.62,01705
Massachusetts,Northeast,81.38,18.62,01703
Massachusetts,Northeast,61.88,38.12,01704
Massachusetts,Northeast,61.88,38.12,01702
Massachusetts,Northeast,68.83,31.17,01718
Massachusetts,Northeast,71.83,28.17,01719
Massachusetts,Northeast,71.73,28.27,01720
Massachusetts,Northeast,76.62,23.38,01721
Massachusetts,Northeast,75.7,24.3,01730
Massachusetts,Northeast,82.87,17.13,01731
Massachusetts,Northeast,90.93,9.07,01740
Massachusetts,Northeast,86.79,13.21,01741
Massachusetts,Northeast,86.17,13.83,01742
Massachusetts,Northeast,89.67,10.33,01745
Massachusetts,Northeast,90.1,9.9,01746
Massachusetts,Northeast,95.77,4.23,01747
Massachusetts,Northeast,86.08,13.92,01748
Massachusetts,Northeast,86.08,13.92,01784
Massachusetts,Northeast,83.22,16.78,01749
Massachusetts,Northeast,74.75,25.25,01752
Massachusetts,Northeast,87.67,12.33,01754
Massachusetts,Northeast,93.38,6.62,01756
Massachusetts,Northeast,77.81,22.19,01757
Massachusetts,Northeast,78.53,21.47,01760
Massachusetts,Northeast,88.62,11.38,01770
Massachusetts,Northeast,80.63,19.37,01772
Massachusetts,Northeast,87.56,12.44,01773
Massachusetts,Northeast,87.85,12.15,01775
Massachusetts,Northeast,87.36,12.64,01776
Massachusetts,Northeast,84.09,15.91,01778
Massachusetts,Northeast,80.07,19.93,01813
Massachusetts,Northeast,80.07,19.93,01801
Massachusetts,Northeast,80.07,19.93,01815
Massachusetts,Northeast,80.07,19.93,01888
Massachusetts,Northeast,76.55,23.45,01805
Massachusetts,Northeast,76.55,23.45,01803
Massachusetts,Northeast,80.22,19.78,01899
Massachusetts,Northeast,80.22,19.78,05501
Massachusetts,Northeast,80.22,19.78,01812
Massachusetts,Northeast,80.22,19.78,01810
Massachusetts,Northeast,84.77,15.23,01865
Massachusetts,Northeast,84.77,15.23,01866
Massachusetts,Northeast,84.77,15.23,01821
Massachusetts,Northeast,84.77,15.23,01822
Massachusetts,Northeast,89.66,10.34,01824
Massachusetts,Northeast,90.02,9.98,01826
Massachusetts,Northeast,94.16,5.84,01827
Massachusetts,Northeast,84.9,15.1,01831
Massachusetts,Northeast,84.9,15.1,01830
Massachusetts,Northeast,88.15,11.85,01832
Massachusetts,Northeast,95.84,4.16,01833
Massachusetts,Northeast,98.5,1.5,01834
Massachusetts,Northeast,91.17,8.83,01835
Massachusetts,Northeast,52.84,47.16,01840
Massachusetts,Northeast,52.84,47.16,01842
Massachusetts,Northeast,54.05,45.95,01841
Massachusetts,Northeast,64.72,35.28,01843
Massachusetts,Northeast,76.09,23.91,01844
Massachusetts,Northeast,88.39,11.61,01845
Massachusetts,Northeast,70.66,29.34,01850
Massachusetts,Northeast,62.63,37.37,01851
Massachusetts,Northeast,76.35,23.65,01853
Massachusetts,Northeast,76.35,23.65,01852
Massachusetts,Northeast,79.74,20.26,01854
Massachusetts,Northeast,96.32,3.68,01860
Massachusetts,Northeast,87.88,12.12,01862
Massachusetts,Northeast,88.54,11.46,01863
Massachusetts,Northeast,90.47,9.53,01864
Massachusetts,Northeast,90.47,9.53,01889
Massachusetts,Northeast,90.25,9.75,01867
Massachusetts,Northeast,91.04,8.96,01876
Massachusetts,Northeast,86.28,13.72,01879
Massachusetts,Northeast,91.6,8.4,01880
Massachusetts,Northeast,80.99,19.01,01886
Massachusetts,Northeast,89.47,10.53,01887
Massachusetts,Northeast,80.75,19.25,01890
Massachusetts,Northeast,32.66,67.34,01901
Massachusetts,Northeast,57.4,42.6,01903
Massachusetts,Northeast,57.4,42.6,01902
Massachusetts,Northeast,76.69,23.31,01904
Massachusetts,Northeast,62.01,37.99,01905
Massachusetts,Northeast,62.01,37.99,01910
Massachusetts,Northeast,85.37,14.63,01906
Massachusetts,Northeast,81.95,18.05,01907
Massachusetts,Northeast,90.03,9.97,01908
Massachusetts,Northeast,93.5,6.5,01913
Massachusetts,Northeast,90.05,9.95,01915
Massachusetts,Northeast,90.05,9.95,01965
Massachusetts,Northeast,93.16,6.84,01921
Massachusetts,Northeast,93.16,6.84,01885
Massachusetts,Northeast,95.02,4.98,01922
Massachusetts,Northeast,89.71,10.29,01923
Massachusetts,Northeast,89.71,10.29,01937
Massachusetts,Northeast,98.04,1.96,01929
Massachusetts,Northeast,91.02,8.98,01931
Massachusetts,Northeast,91.02,8.98,01930
Massachusetts,Northeast,92.73,7.27,01938
Massachusetts,Northeast,90.77,9.23,01940
Massachusetts,Northeast,93.35,6.65,01944
Massachusetts,Northeast,89.62,10.38,01945
Massachusetts,Northeast,91.41,8.59,01949
Massachusetts,Northeast,91.71,8.29,01950
Massachusetts,Northeast,97.34,2.66,01951
Massachusetts,Northeast,94.4,5.6,01952
Massachusetts,Northeast,83.94,16.06,01960
Massachusetts,Northeast,83.94,16.06,01961
Massachusetts,Northeast,94.9,5.1,01966
Massachusetts,Northeast,97.85,2.15,01969
Massachusetts,Northeast,84.23,15.77,01971
Massachusetts,Northeast,84.23,15.77,01970
Massachusetts,Northeast,90.37,9.63,01982
Massachusetts,Northeast,90.37,9.63,01936
Massachusetts,Northeast,92.85,7.15,01983
Massachusetts,Northeast,91.63,8.37,01984
Massachusetts,Northeast,94.94,5.06,01985
Massachusetts,Northeast,93.21,6.79,02019
Massachusetts,Northeast,84.78,15.22,02021
Massachusetts,Northeast,96.9,3.1,02025
Massachusetts,Northeast,86.62,13.38,02027
Massachusetts,Northeast,86.62,13.38,02026
Massachusetts,Northeast,85.31,14.69,02030
Massachusetts,Northeast,90.16,9.84,02032
Massachusetts,Northeast,88.36,11.64,02035
Massachusetts,Northeast,91.23,8.77,02038
Massachusetts,Northeast,93.22,6.78,02044
Massachusetts,Northeast,93.22,6.78,02043
Massachusetts,Northeast,93.22,6.78,02018
Massachusetts,Northeast,94.84,5.16,02045
Massachusetts,Northeast,100.0,0.0,02047
Massachusetts,Northeast,90.68,9.32,02048
Massachusetts,Northeast,97.01,2.99,02050
Massachusetts,Northeast,97.01,2.99,02065
Massachusetts,Northeast,97.01,2.99,02051
Massachusetts,Northeast,97.01,2.99,02041
Massachusetts,Northeast,97.01,2.99,02059
Massachusetts,Northeast,97.01,2.99,02020
Massachusetts,Northeast,91.05,8.95,02052
Massachusetts,Northeast,92.71,7.29,02053
Massachusetts,Northeast,87.97,12.03,02054
Massachusetts,Northeast,91.62,8.38,02056
Massachusetts,Northeast,93.69,6.31,02061
Massachusetts,Northeast,80.11,19.89,02062
Massachusetts,Northeast,93.77,6.23,02066
Massachusetts,Northeast,93.77,6.23,02060
Massachusetts,Northeast,93.77,6.23,02055
Massachusetts,Northeast,93.77,6.23,02040
Massachusetts,Northeast,76.44,23.56,02067
Massachusetts,Northeast,66.34,33.66,02071
Massachusetts,Northeast,77.09,22.91,02072
Massachusetts,Northeast,88.56,11.44,02081
Massachusetts,Northeast,84.32,15.68,02090
Massachusetts,Northeast,94.53,5.47,02093
Massachusetts,Northeast,94.53,5.47,02070
Massachusetts,Northeast,78.96,21.04,02133
Massachusetts,Northeast,78.96,21.04,02108
Massachusetts,Northeast,80.71,19.29,02212
Massachusetts,Northeast,80.71,19.29,02211
Massachusetts,Northeast,80.71,19.29,02109
Massachusetts,Northeast,74.15,25.85,02241
Massachusetts,Northeast,74.15,25.85,02196
Massachusetts,Northeast,74.15,25.85,02110
Massachusetts,Northeast,49.34,50.66,02298
Massachusetts,Northeast,49.34,50.66,02293
Massachusetts,Northeast,49.34,50.66,02297
Massachusetts,Northeast,49.34,50.66,02284
Massachusetts,Northeast,49.34,50.66,02283
Massachusetts,Northeast,49.34,50.66,02205
Massachusetts,Northeast,49.34,50.66,02266
Massachusetts,Northeast,49.34,50.66,02112
Massachusetts,Northeast,49.34,50.66,02111
Massachusetts,Northeast,86.7,13.3,02113
Massachusetts,Northeast,77.81,22.19,02222
Massachusetts,Northeast,77.81,22.19,02114
Massachusetts,Northeast,71.07,28.93,02123
Massachusetts,Northeast,71.07,28.93,02115
Massachusetts,Northeast,75.66,24.34,02217
Massachusetts,Northeast,75.66,24.34,02116
Massachusetts,Northeast,75.66,24.34,02117
Massachusetts,Northeast,71.82,28.18,02118
Massachusetts,Northeast,73.42,26.58,02119
Massachusetts,Northeast,74.4,25.6,02120
Massachusetts,Northeast,63.67,36.33,02121
Massachusetts,Northeast,63.05,36.95,02122
Massachusetts,Northeast,68.04,31.96,02124
Massachusetts,Northeast,61.47,38.53,02125
Massachusetts,Northeast,65.3,34.7,02126
Massachusetts,Northeast,86.41,13.59,02127
Massachusetts,Northeast,52.53,47.47,02128
Massachusetts,Northeast,83.92,16.08,02129
Massachusetts,Northeast,76.06,23.94,02130
Massachusetts,Northeast,70.79,29.21,02131
Massachusetts,Northeast,79.24,20.76,02132
Massachusetts,Northeast,63.82,36.18,02134
Massachusetts,Northeast,70.87,29.13,02135
